set,target,L,p_at_l5,p_at_l1
casp15,T1121-D1,196,0.10256410390138626,0.0357142873108387
casp15,T1121-D2,168,0.8787878751754761,0.5654761791229248
casp15,T1123-D1,214,0.0,0.028037382289767265
casp15,T1124-D1,378,0.9466666579246521,0.7275132536888123
casp15,T1129s2-D1,563,0.2053571492433548,0.10834813863039017
casp15,T1133-D1,409,0.9135802388191223,0.7872860431671143
casp15,T1137s1-D1,150,1.0,0.6600000262260437
casp15,T1137s1-D2,240,0.02083333395421505,0.004166666883975267
casp15,T1137s2-D1,149,1.0,0.6711409687995911
casp15,T1137s2-D2,194,0.15789473056793213,0.0670103058218956
casp15,T1137s3-D1,149,0.9655172228813171,0.6375839114189148
casp15,T1137s3-D2,164,0.0,0.0
casp15,T1137s4-D1,116,0.95652174949646,0.7155172228813171
casp15,T1137s4-D2,235,0.12765957415103912,0.05531914904713631
casp15,T1137s4-D3,74,0.2857142984867096,0.20270270109176636
casp15,T1137s5-D1,137,1.0,0.6861313581466675
casp15,T1137s5-D2,221,0.022727273404598236,0.018099548295140266
casp15,T1137s6-D1,151,0.9666666388511658,0.6754966974258423
casp15,T1137s6-D2,248,0.040816325694322586,0.032258063554763794
casp15,T1137s7-D1,300,0.8999999761581421,0.6633333563804626
casp15,T1137s8-D1,251,0.7799999713897705,0.5059760808944702
casp15,T1137s9-D1,265,0.7169811129570007,0.4226415157318115
casp15,T1139-D1,295,1.0,0.6779661178588867
casp15,T1145-D1,99,1.0,0.7777777910232544
casp15,T1145-D2,529,0.961904764175415,0.6446124911308289
casp15,T1150-D1,349,0.8840579986572266,0.5472779273986816
casp15,T1157s1-D1,661,0.7272727489471436,0.47806355357170105
casp15,T1157s1-D2,114,0.1818181872367859,0.061403509229421616
casp15,T1157s1-D3,233,0.45652174949645996,0.32618024945259094
casp15,T1157s2-D1,106,0.8571428656578064,0.6132075190544128
casp15,T1157s2-D2,217,0.7441860437393188,0.6497696042060852
casp15,T1157s2-D3,141,0.9642857313156128,0.673758864402771
casp15,T1170-D1,240,0.9166666865348816,0.7583333253860474
casp15,T1170-D2,72,0.9285714030265808,0.6805555820465088
casp15,T1180-D1,381,0.9736841917037964,0.8162729740142822
casp15,T1187-D1,164,0.90625,0.75
casp15,T1188-D1,573,0.9824561476707458,0.6910994648933411
casp15,T1194-D1,161,0.90625,0.7453415989875793
cameo,5OD1_A,94,0.8888888955116272,0.5
cameo,5OD9_B,88,0.8823529481887817,0.5909090638160706
cameo,5OQK_A,147,0.06896551698446274,0.054421767592430115
cameo,5OVM_A,82,0.1875,0.08536585420370102
cameo,5W5P_A,610,0.9098360538482666,0.5934426188468933
cameo,5WB4_H,193,0.9473684430122375,0.803108811378479
cameo,5XJO_E,42,0.75,0.380952388048172
cameo,5XKJ_F,45,0.6666666865348816,0.3777777850627899
cameo,5XKN_F,34,0.0,0.20588235557079315
cameo,5Y08_A,205,0.9512194991111755,0.6048780679702759
cameo,5YA6_B,165,0.8181818127632141,0.5333333611488342
cameo,5YRQ_E,121,0.1666666716337204,0.1735537201166153
cameo,5YVQ_A,358,0.5633803009986877,0.37150838971138
cameo,5YVQ_B,103,0.8500000238418579,0.41747573018074036
cameo,5Z2H_B,91,0.8333333134651184,0.5054945349693298
cameo,5Z2I_D,92,0.8333333134651184,0.489130437374115
cameo,5Z34_A,361,0.8472222089767456,0.5983379483222961
cameo,5Z36_A,154,0.800000011920929,0.5974025726318359
cameo,5Z3F_A,371,0.9459459185600281,0.6684635877609253
cameo,5Z3K_B,483,0.9270833134651184,0.7784678936004639
cameo,5Z6D_B,204,0.875,0.5784313678741455
cameo,5Z7C_A,414,0.7804877758026123,0.47342994809150696
cameo,5Z8B_B,204,0.9750000238418579,0.7254902124404907
cameo,5Z9T_B,499,0.9797979593276978,0.8496993780136108
cameo,5ZB2_A,402,1.0,0.8407959938049316
cameo,5ZER_B,346,0.9420289993286133,0.8034682273864746
cameo,5ZKE_A,174,0.6470588445663452,0.3563218414783478
cameo,5ZKH_B,168,0.6666666865348816,0.4345238208770752
cameo,5ZKT_B,55,0.3636363744735718,0.072727270424366
cameo,5ZME_A,638,0.6929134130477905,0.4216300845146179
cameo,5ZNS_A,381,0.8026315569877625,0.5249344110488892
cameo,5ZOR_A,149,0.517241358757019,0.2751677930355072
cameo,5ZT7_B,252,0.9399999976158142,0.8214285969734192
cameo,5ZX9_A,165,0.8181818127632141,0.7272727489471436
cameo,5ZYO_D,152,0.4000000059604645,0.14473684132099152
cameo,6A2W_A,166,0.3030303120613098,0.1265060305595398
cameo,6A5F_B,151,0.9333333373069763,0.6423841118812561
cameo,6A5G_B,157,0.8709677457809448,0.6242038011550903
cameo,6A68_A,162,0.28125,0.1358024626970291
cameo,6A83_A,357,0.9718309640884399,0.7002801299095154
cameo,6A9J_B,339,0.89552241563797,0.5781710743904114
cameo,6A9W_A,281,0.8928571343421936,0.5658363103866577
cameo,6AE1_B,114,0.8181818127632141,0.5438596606254578
cameo,6AE9_B,253,0.9800000190734863,0.7984189987182617
cameo,6AEF_A,458,0.8571428656578064,0.6419214010238647
cameo,6AGH_B,274,0.6851851940155029,0.3321167826652527
cameo,6AGJ_B,315,0.6349206566810608,0.3650793731212616
cameo,6AHQ_T,107,1.0,0.7757009267807007
cameo,6AIT_F,406,0.9382715821266174,0.6600984930992126
cameo,6AJJ_A,901,0.8388888835906982,0.5516093373298645
cameo,6AKJ_B,110,0.6818181872367859,0.4272727370262146
cameo,6BEA_A,433,0.9883720874786377,0.8475750684738159
cameo,6BS5_A,330,0.939393937587738,0.6454545259475708
cameo,6BS5_B,355,0.9014084339141846,0.608450710773468
cameo,6BWH_C,200,1.0,0.8149999976158142
cameo,6BXS_C,270,0.8518518805503845,0.5259259343147278
cameo,6BXW_A,267,0.7924528121948242,0.5543071031570435
cameo,6BZJ_A,57,0.0,0.0
cameo,6BZK_A,57,0.0,0.0
cameo,6BZT_D,501,0.9700000286102295,0.6506986021995544
cameo,6CB6_A,118,0.1304347813129425,0.050847455859184265
cameo,6CCI_A,354,0.8999999761581421,0.5621469020843506
cameo,6CGO_B,508,0.9207921028137207,0.625984251499176
cameo,6CK1_D,375,0.9866666793823242,0.8960000276565552
cameo,6CMK_A,375,1.0,0.8613333106040955
cameo,6CP8_B,162,0.5625,0.3827160596847534
cameo,6CP8_D,157,0.8064516186714172,0.5732483863830566
cameo,6CP9_G,109,1.0,0.5596330165863037
cameo,6CP9_H,114,0.6818181872367859,0.42105263471603394
cameo,6CPU_A,526,0.7809523940086365,0.47148290276527405
cameo,6CSV_D,86,0.1764705926179886,0.06976744532585144
cameo,6CUL_H,267,0.849056601524353,0.5056179761886597
cameo,6CZ6_D,326,0.8153846263885498,0.592024564743042
cameo,6CZT_A,82,0.9375,0.7682926654815674
cameo,6D0I_C,159,0.9354838728904724,0.6415094137191772
cameo,6D0I_D,71,0.8571428656578064,0.4647887349128723
cameo,6D2S_A,275,0.8545454740524292,0.5381818413734436
cameo,6D7Y_A,92,0.7777777910232544,0.45652174949645996
cameo,6D7Y_B,155,0.6129032373428345,0.5354838967323303
cameo,6D97_D,522,0.9519230723381042,0.6455938816070557
cameo,6D9F_B,322,0.828125,0.5031055808067322
cameo,6D9M_A,326,0.8615384697914124,0.7239263653755188
cameo,6DAN_D,323,0.96875,0.7616099119186401
cameo,6DFL_A,241,0.9583333134651184,0.6721991896629333
cameo,6DGN_B,91,0.3888888955116272,0.34065935015678406
cameo,6DII_L,616,0.8943089246749878,0.6185064911842346
cameo,6DKA_I,226,0.8888888955116272,0.5442478060722351
cameo,6DKM_G,76,0.6666666865348816,0.3552631437778473
cameo,6DLC_A,105,0.761904776096344,0.34285715222358704
cameo,6DLO_A,311,0.8870967626571655,0.762057900428772
cameo,6DRF_A,143,0.0357142873108387,0.0419580414891243
cameo,6E0K_A,295,0.8813559412956238,0.5627118349075317
cameo,6E0M_A,272,0.9444444179534912,0.5882353186607361
cameo,6E3C_C,134,0.1538461595773697,0.11194030195474625
cameo,6E9B_D,368,0.8630136847496033,0.5869565010070801
cameo,6E9O_A,393,0.8717948794364929,0.6335877776145935
cameo,6EAZ_B,328,0.7076923251152039,0.35670730471611023
cameo,6EDB_B,67,0.692307710647583,0.4029850661754608
cameo,6EGC_A,147,0.4137931168079376,0.36734694242477417
cameo,6FCG_F,393,0.9871794581413269,0.6819338202476501
cameo,6FTO_C,75,0.5333333611488342,0.2266666740179062
cameo,6FXD_B,121,1.0,0.7685950398445129
cameo,6G1H_A,342,0.970588207244873,0.7222222089767456
cameo,6G3B_B,225,0.5111111402511597,0.2666666805744171
cameo,6G70_B,510,0.8529411554336548,0.5843137502670288
cameo,6G7G_A,115,1.0,0.7565217614173889
cameo,6G7O_A,350,0.9428571462631226,0.5285714268684387
cameo,6G8Y_A,92,0.9444444179534912,0.52173912525177
cameo,6GCJ_A,121,0.5833333134651184,0.3636363744735718
cameo,6GDJ_B,69,0.8461538553237915,0.37681159377098083
cameo,6GHO_B,274,0.9074074029922485,0.6824817657470703
cameo,6GMA_F,120,0.9583333134651184,0.46666666865348816
cameo,6GMS_A,132,0.692307710647583,0.4848484992980957
cameo,6GW7_A,59,0.0,0.033898305147886276
cameo,6H2X_A,352,0.27142858505249023,0.07102272659540176
cameo,6H6N_B,118,0.95652174949646,0.7118644118309021
cameo,6HC2_X,40,0.0,0.0
cameo,6HPV_A,299,0.8135592937469482,0.5451505184173584
cameo,6I1R_B,310,0.6290322542190552,0.4161290228366852
cameo,6I9H_A,92,0.7222222089767456,0.489130437374115
cameo,6IAI_D,106,0.380952388048172,0.2075471729040146
cameo,6IEH_A,85,0.05882352963089943,0.0235294122248888
cameo,6N0T_A,383,0.8026315569877625,0.5300261378288269
cameo,6N8P_A,827,0.9818181991577148,0.7533252835273743
cameo,6NU4_A,56,0.09090909361839294,0.01785714365541935
cameo,6NX4_A,167,0.7575757503509521,0.538922131061554
cameo,6OHZ_A,210,0.6666666865348816,0.44285714626312256
