comparison,protein_id,cka
pairwise:base__perturb,T1032-D1,0.6671
pairwise:base__perturb,T1033-D1,0.8272
pairwise:base__perturb,T1034-D1,0.7189
pairwise:base__perturb,T1036s1-D1,0.4483
pairwise:base__perturb,T1038-D1,0.4262
pairwise:base__perturb,T1038-D2,0.7484
pairwise:base__perturb,T1039-D1,0.6299
pairwise:base__perturb,T1046s1-D1,0.7080
pairwise:base__perturb,T1046s2-D1,0.7987
pairwise:base__perturb,T1049-D1,0.3650
pairwise:base__perturb,T1050-D1,0.8400
pairwise:base__perturb,T1050-D2,0.8716
pairwise:base__perturb,T1050-D3,0.7902
pairwise:base__perturb,T1054-D1,0.7990
pairwise:base__perturb,T1056-D1,0.7122
pairwise:base__perturb,T1057-D1,0.8348
pairwise:base__perturb,T1064-D1,0.6753
pairwise:base__perturb,T1067-D1,0.7095
pairwise:base__perturb,T1070-D2,0.6695
pairwise:base__perturb,T1073-D1,0.8220
pairwise:base__perturb,T1079-D1,0.7424
pairwise:base__perturb,T1082-D1,0.8670
pairwise:base__perturb,T1089-D1,0.8322
pairwise:base__perturb,T1090-D1,0.5963
pairwise:base__perturb,T1099-D1,0.5623
pairwise:base__gate,T1024-D1,0.7690
pairwise:base__gate,T1024-D2,0.7416
pairwise:base__gate,T1025-D1,0.8309
pairwise:base__gate,T1026-D1,0.6417
pairwise:base__gate,T1030-D1,0.8183
pairwise:base__gate,T1030-D2,0.7943
pairwise:base__gate,T1031-D1,0.6362
pairwise:base__gate,T1032-D1,0.7284
pairwise:base__gate,T1033-D1,0.7485
pairwise:base__gate,T1034-D1,0.6816
pairwise:base__gate,T1036s1-D1,0.4279
pairwise:base__gate,T1038-D1,0.4467
pairwise:base__gate,T1038-D2,0.6249
pairwise:base__gate,T1039-D1,0.6789
pairwise:base__gate,T1046s1-D1,0.7737
pairwise:base__gate,T1046s2-D1,0.7827
pairwise:base__gate,T1049-D1,0.4546
pairwise:base__gate,T1050-D1,0.8376
pairwise:base__gate,T1050-D2,0.8540
pairwise:base__gate,T1050-D3,0.7918
pairwise:base__gate,T1054-D1,0.7869
pairwise:base__gate,T1056-D1,0.7190
pairwise:base__gate,T1057-D1,0.8221
pairwise:base__gate,T1064-D1,0.6033
pairwise:base__gate,T1067-D1,0.6757
pairwise:base__gate,T1070-D2,0.7489
pairwise:base__gate,T1073-D1,0.7870
pairwise:base__gate,T1079-D1,0.7547
pairwise:base__gate,T1082-D1,0.7290
pairwise:base__gate,T1089-D1,0.8214
pairwise:base__gate,T1090-D1,0.6210
pairwise:base__gate,T1099-D1,0.6546
pairwise:base__gate_perturb,T1024-D1,0.7547
pairwise:base__gate_perturb,T1024-D2,0.7489
pairwise:base__gate_perturb,T1025-D1,0.8271
pairwise:base__gate_perturb,T1026-D1,0.6713
pairwise:base__gate_perturb,T1030-D1,0.8212
pairwise:base__gate_perturb,T1030-D2,0.8271
pairwise:base__gate_perturb,T1031-D1,0.6757
pairwise:base__gate_perturb,T1032-D1,0.7371
pairwise:base__gate_perturb,T1033-D1,0.7793
pairwise:base__gate_perturb,T1034-D1,0.7068
pairwise:base__gate_perturb,T1036s1-D1,0.4167
pairwise:base__gate_perturb,T1038-D1,0.3389
pairwise:base__gate_perturb,T1038-D2,0.6654
pairwise:base__gate_perturb,T1039-D1,0.6251
pairwise:base__gate_perturb,T1046s1-D1,0.7065
pairwise:base__gate_perturb,T1046s2-D1,0.7669
pairwise:base__gate_perturb,T1049-D1,0.4750
pairwise:base__gate_perturb,T1050-D1,0.7831
pairwise:base__gate_perturb,T1050-D2,0.8013
pairwise:base__gate_perturb,T1050-D3,0.8012
pairwise:base__gate_perturb,T1054-D1,0.7905
pairwise:base__gate_perturb,T1056-D1,0.7079
pairwise:base__gate_perturb,T1057-D1,0.8459
pairwise:base__gate_perturb,T1064-D1,0.6441
pairwise:base__gate_perturb,T1067-D1,0.6207
pairwise:base__gate_perturb,T1070-D2,0.7306
pairwise:base__gate_perturb,T1073-D1,0.8336
pairwise:base__gate_perturb,T1079-D1,0.7021
pairwise:base__gate_perturb,T1082-D1,0.7658
pairwise:base__gate_perturb,T1089-D1,0.7785
pairwise:base__gate_perturb,T1090-D1,0.5568
pairwise:base__gate_perturb,T1099-D1,0.6855
pairwise:base__attnobias,T1024-D1,0.7271
pairwise:base__attnobias,T1024-D2,0.7576
pairwise:base__attnobias,T1025-D1,0.8371
pairwise:base__attnobias,T1026-D1,0.6737
pairwise:base__attnobias,T1030-D1,0.8744
pairwise:base__attnobias,T1030-D2,0.8094
pairwise:base__attnobias,T1031-D1,0.6217
pairwise:base__attnobias,T1032-D1,0.6499
pairwise:base__attnobias,T1033-D1,0.7298
pairwise:base__attnobias,T1034-D1,0.7190
pairwise:base__attnobias,T1036s1-D1,0.6058
pairwise:base__attnobias,T1038-D1,0.4031
pairwise:base__attnobias,T1038-D2,0.6884
pairwise:base__attnobias,T1039-D1,0.6317
pairwise:base__attnobias,T1046s1-D1,0.7447
pairwise:base__attnobias,T1046s2-D1,0.7833
pairwise:base__attnobias,T1049-D1,0.4217
pairwise:base__attnobias,T1050-D1,0.8452
pairwise:base__attnobias,T1050-D2,0.8661
pairwise:base__attnobias,T1050-D3,0.7979
pairwise:base__attnobias,T1054-D1,0.8286
pairwise:base__attnobias,T1056-D1,0.7438
pairwise:base__attnobias,T1057-D1,0.8192
pairwise:base__attnobias,T1064-D1,0.7007
pairwise:base__attnobias,T1067-D1,0.6906
pairwise:base__attnobias,T1070-D2,0.7546
pairwise:base__attnobias,T1073-D1,0.8542
pairwise:base__attnobias,T1079-D1,0.7094
pairwise:base__attnobias,T1082-D1,0.7584
pairwise:base__attnobias,T1089-D1,0.8130
pairwise:base__attnobias,T1090-D1,0.6419
pairwise:base__attnobias,T1099-D1,0.6948
pairwise:phys__static,T1024-D1,0.7865
pairwise:phys__static,T1024-D2,0.8163
pairwise:phys__static,T1025-D1,0.8840
pairwise:phys__static,T1026-D1,0.7520
pairwise:phys__static,T1030-D1,0.9188
pairwise:phys__static,T1030-D2,0.8145
pairwise:phys__static,T1031-D1,0.7019
pairwise:phys__static,T1032-D1,0.7442
pairwise:phys__static,T1033-D1,0.8151
pairwise:phys__static,T1034-D1,0.7667
pairwise:phys__static,T1036s1-D1,0.5540
pairwise:phys__static,T1038-D1,0.6037
pairwise:phys__static,T1038-D2,0.7858
pairwise:phys__static,T1039-D1,0.6428
pairwise:phys__static,T1046s1-D1,0.8141
pairwise:phys__static,T1046s2-D1,0.7503
pairwise:phys__static,T1049-D1,0.6117
pairwise:phys__static,T1050-D1,0.8824
pairwise:phys__static,T1050-D2,0.9136
pairwise:phys__static,T1050-D3,0.8460
pairwise:phys__static,T1054-D1,0.8263
pairwise:phys__static,T1056-D1,0.8091
pairwise:phys__static,T1057-D1,0.8942
pairwise:phys__static,T1064-D1,0.7819
pairwise:phys__static,T1067-D1,0.7192
pairwise:phys__static,T1070-D2,0.7572
pairwise:phys__static,T1073-D1,0.8334
pairwise:phys__static,T1079-D1,0.8056
pairwise:phys__static,T1082-D1,0.8907
pairwise:phys__static,T1089-D1,0.8588
pairwise:phys__static,T1090-D1,0.7158
pairwise:phys__static,T1099-D1,0.6109
pairwise:phys__static_perturb,T1024-D1,0.8042
pairwise:phys__static_perturb,T1024-D2,0.8227
pairwise:phys__static_perturb,T1025-D1,0.8673
pairwise:phys__static_perturb,T1026-D1,0.7192
pairwise:phys__static_perturb,T1030-D1,0.9221
pairwise:phys__static_perturb,T1030-D2,0.8027
pairwise:phys__static_perturb,T1031-D1,0.7178
pairwise:phys__static_perturb,T1032-D1,0.7903
pairwise:phys__static_perturb,T1033-D1,0.8202
pairwise:phys__static_perturb,T1034-D1,0.7917
pairwise:phys__static_perturb,T1036s1-D1,0.5171
pairwise:phys__static_perturb,T1038-D1,0.5421
pairwise:phys__static_perturb,T1038-D2,0.7743
pairwise:phys__static_perturb,T1039-D1,0.7283
pairwise:phys__static_perturb,T1046s1-D1,0.7955
pairwise:phys__static_perturb,T1046s2-D1,0.7852
pairwise:phys__static_perturb,T1049-D1,0.5456
pairwise:phys__static_perturb,T1050-D1,0.8901
pairwise:phys__static_perturb,T1050-D2,0.9105
pairwise:phys__static_perturb,T1050-D3,0.8450
pairwise:phys__static_perturb,T1054-D1,0.8270
pairwise:phys__static_perturb,T1056-D1,0.8178
pairwise:phys__static_perturb,T1057-D1,0.9064
pairwise:phys__static_perturb,T1064-D1,0.6562
pairwise:phys__static_perturb,T1067-D1,0.7337
pairwise:phys__static_perturb,T1070-D2,0.8239
pairwise:phys__static_perturb,T1073-D1,0.8409
pairwise:phys__static_perturb,T1079-D1,0.7862
pairwise:phys__static_perturb,T1082-D1,0.8899
pairwise:phys__static_perturb,T1089-D1,0.8831
pairwise:phys__static_perturb,T1090-D1,0.6360
pairwise:phys__static_perturb,T1099-D1,0.6192
pairwise:phys__perturb,T1024-D1,0.8540
pairwise:phys__perturb,T1024-D2,0.8381
pairwise:phys__perturb,T1025-D1,0.8787
pairwise:phys__perturb,T1026-D1,0.7477
pairwise:phys__perturb,T1030-D1,0.9305
pairwise:phys__perturb,T1030-D2,0.8109
pairwise:phys__perturb,T1031-D1,0.6978
pairwise:phys__perturb,T1032-D1,0.7646
pairwise:phys__perturb,T1033-D1,0.8506
pairwise:phys__perturb,T1034-D1,0.7672
pairwise:phys__perturb,T1036s1-D1,0.4998
pairwise:phys__perturb,T1038-D1,0.5222
pairwise:phys__perturb,T1038-D2,0.8022
pairwise:phys__perturb,T1039-D1,0.7024
pairwise:phys__perturb,T1046s1-D1,0.8017
pairwise:phys__perturb,T1046s2-D1,0.7672
pairwise:phys__perturb,T1049-D1,0.4174
pairwise:phys__perturb,T1050-D1,0.9033
pairwise:phys__perturb,T1050-D2,0.9191
pairwise:phys__perturb,T1050-D3,0.8366
pairwise:phys__perturb,T1054-D1,0.8335
pairwise:phys__perturb,T1056-D1,0.7751
pairwise:phys__perturb,T1057-D1,0.8997
pairwise:phys__perturb,T1064-D1,0.7890
pairwise:phys__perturb,T1067-D1,0.7100
pairwise:phys__perturb,T1070-D2,0.8029
pairwise:phys__perturb,T1073-D1,0.8675
pairwise:phys__perturb,T1079-D1,0.7999
pairwise:phys__perturb,T1082-D1,0.8623
pairwise:phys__perturb,T1089-D1,0.8717
pairwise:phys__perturb,T1090-D1,0.6606
pairwise:phys__perturb,T1099-D1,0.5187
pairwise:phys__gate,T1024-D1,0.7156
pairwise:phys__gate,T1024-D2,0.7395
pairwise:phys__gate,T1025-D1,0.8255
pairwise:phys__gate,T1026-D1,0.6377
pairwise:phys__gate,T1030-D1,0.8188
pairwise:phys__gate,T1030-D2,0.7285
pairwise:phys__gate,T1031-D1,0.6220
pairwise:phys__gate,T1032-D1,0.6381
pairwise:phys__gate,T1033-D1,0.7210
pairwise:phys__gate,T1034-D1,0.6141
pairwise:phys__gate,T1036s1-D1,0.3252
pairwise:phys__gate,T1038-D1,0.4689
pairwise:phys__gate,T1038-D2,0.6003
pairwise:phys__gate,T1039-D1,0.6532
pairwise:phys__gate,T1046s1-D1,0.7140
pairwise:phys__gate,T1046s2-D1,0.7168
pairwise:phys__gate,T1049-D1,0.4053
pairwise:phys__gate,T1050-D1,0.8094
pairwise:phys__gate,T1050-D2,0.8314
pairwise:phys__gate,T1050-D3,0.7234
pairwise:phys__gate,T1054-D1,0.7765
pairwise:phys__gate,T1056-D1,0.7284
pairwise:phys__gate,T1057-D1,0.8177
pairwise:phys__gate,T1064-D1,0.6086
pairwise:phys__gate,T1067-D1,0.6165
pairwise:phys__gate,T1070-D2,0.6709
pairwise:phys__gate,T1073-D1,0.7341
pairwise:phys__gate,T1079-D1,0.7174
pairwise:phys__gate,T1082-D1,0.6610
pairwise:phys__gate,T1089-D1,0.7838
pairwise:phys__gate,T1090-D1,0.5484
pairwise:phys__gate,T1099-D1,0.5722
pairwise:phys__gate_perturb,T1024-D1,0.7135
pairwise:phys__gate_perturb,T1024-D2,0.7396
pairwise:phys__gate_perturb,T1025-D1,0.8282
pairwise:phys__gate_perturb,T1026-D1,0.7176
pairwise:phys__gate_perturb,T1030-D1,0.8209
pairwise:phys__gate_perturb,T1030-D2,0.7513
pairwise:phys__gate_perturb,T1031-D1,0.6770
pairwise:phys__gate_perturb,T1032-D1,0.6728
pairwise:phys__gate_perturb,T1033-D1,0.7735
pairwise:phys__gate_perturb,T1034-D1,0.6810
pairwise:phys__gate_perturb,T1036s1-D1,0.3457
pairwise:phys__gate_perturb,T1038-D1,0.3946
pairwise:phys__gate_perturb,T1038-D2,0.6550
pairwise:phys__gate_perturb,T1039-D1,0.6295
pairwise:phys__gate_perturb,T1046s1-D1,0.7384
pairwise:phys__gate_perturb,T1046s2-D1,0.7423
pairwise:phys__gate_perturb,T1049-D1,0.4715
pairwise:phys__gate_perturb,T1050-D1,0.7761
pairwise:phys__gate_perturb,T1050-D2,0.8071
pairwise:phys__gate_perturb,T1050-D3,0.7939
pairwise:phys__gate_perturb,T1054-D1,0.7746
pairwise:phys__gate_perturb,T1056-D1,0.7436
pairwise:phys__gate_perturb,T1057-D1,0.8375
pairwise:phys__gate_perturb,T1064-D1,0.6829
pairwise:phys__gate_perturb,T1067-D1,0.6574
pairwise:phys__gate_perturb,T1070-D2,0.7173
pairwise:phys__gate_perturb,T1073-D1,0.7568
pairwise:phys__gate_perturb,T1079-D1,0.7265
pairwise:phys__gate_perturb,T1082-D1,0.7369
pairwise:phys__gate_perturb,T1089-D1,0.7687
pairwise:phys__gate_perturb,T1090-D1,0.5390
pairwise:phys__gate_perturb,T1099-D1,0.5507
pairwise:phys__attnobias,T1024-D1,0.7927
pairwise:phys__attnobias,T1024-D2,0.8105
pairwise:phys__attnobias,T1025-D1,0.8966
pairwise:phys__attnobias,T1026-D1,0.7368
pairwise:phys__attnobias,T1030-D1,0.9244
pairwise:phys__attnobias,T1030-D2,0.7990
pairwise:phys__attnobias,T1031-D1,0.7100
pairwise:phys__attnobias,T1032-D1,0.7371
pairwise:phys__attnobias,T1033-D1,0.8081
pairwise:phys__attnobias,T1034-D1,0.7626
pairwise:phys__attnobias,T1036s1-D1,0.5415
pairwise:phys__attnobias,T1038-D1,0.5076
pairwise:phys__attnobias,T1038-D2,0.7512
pairwise:phys__attnobias,T1039-D1,0.7169
pairwise:phys__attnobias,T1046s1-D1,0.7727
pairwise:phys__attnobias,T1046s2-D1,0.7978
pairwise:phys__attnobias,T1049-D1,0.4504
pairwise:phys__attnobias,T1050-D1,0.8917
pairwise:phys__attnobias,T1050-D2,0.9196
pairwise:phys__attnobias,T1050-D3,0.8292
pairwise:phys__attnobias,T1054-D1,0.8769
pairwise:phys__attnobias,T1056-D1,0.8146
pairwise:phys__attnobias,T1057-D1,0.8899
pairwise:phys__attnobias,T1064-D1,0.8133
pairwise:phys__attnobias,T1067-D1,0.7274
pairwise:phys__attnobias,T1070-D2,0.8238
pairwise:phys__attnobias,T1073-D1,0.8537
pairwise:phys__attnobias,T1079-D1,0.7888
pairwise:phys__attnobias,T1082-D1,0.8345
pairwise:phys__attnobias,T1089-D1,0.8864
pairwise:phys__attnobias,T1090-D1,0.6899
pairwise:phys__attnobias,T1099-D1,0.6618
pairwise:static__static_perturb,T1024-D1,0.8182
pairwise:static__static_perturb,T1024-D2,0.8352
pairwise:static__static_perturb,T1025-D1,0.8899
pairwise:static__static_perturb,T1026-D1,0.7630
pairwise:static__static_perturb,T1030-D1,0.9445
pairwise:static__static_perturb,T1030-D2,0.8923
pairwise:static__static_perturb,T1031-D1,0.7337
pairwise:static__static_perturb,T1032-D1,0.7797
pairwise:static__static_perturb,T1033-D1,0.8327
pairwise:static__static_perturb,T1034-D1,0.8430
pairwise:static__static_perturb,T1036s1-D1,0.5797
pairwise:static__static_perturb,T1038-D1,0.6607
pairwise:static__static_perturb,T1038-D2,0.8159
pairwise:static__static_perturb,T1039-D1,0.7224
pairwise:static__static_perturb,T1046s1-D1,0.8294
pairwise:static__static_perturb,T1046s2-D1,0.8129
pairwise:static__static_perturb,T1049-D1,0.6642
pairwise:static__static_perturb,T1050-D1,0.9111
pairwise:static__static_perturb,T1050-D2,0.9309
pairwise:static__static_perturb,T1050-D3,0.8524
pairwise:static__static_perturb,T1054-D1,0.8492
pairwise:static__static_perturb,T1056-D1,0.8306
pairwise:static__static_perturb,T1057-D1,0.9095
pairwise:static__static_perturb,T1064-D1,0.6339
pairwise:static__static_perturb,T1067-D1,0.7403
pairwise:static__static_perturb,T1070-D2,0.8171
pairwise:static__static_perturb,T1073-D1,0.8531
pairwise:static__static_perturb,T1079-D1,0.8561
pairwise:static__static_perturb,T1082-D1,0.8825
pairwise:static__static_perturb,T1089-D1,0.8942
pairwise:static__static_perturb,T1090-D1,0.6800
pairwise:static__static_perturb,T1099-D1,0.6802
pairwise:static__perturb,T1024-D1,0.8130
pairwise:static__perturb,T1024-D2,0.8320
pairwise:static__perturb,T1025-D1,0.8736
pairwise:static__perturb,T1026-D1,0.7493
pairwise:static__perturb,T1030-D1,0.9398
pairwise:static__perturb,T1030-D2,0.8489
pairwise:static__perturb,T1031-D1,0.7531
pairwise:static__perturb,T1032-D1,0.7638
pairwise:static__perturb,T1033-D1,0.8785
pairwise:static__perturb,T1034-D1,0.8222
pairwise:static__perturb,T1036s1-D1,0.5810
pairwise:static__perturb,T1038-D1,0.6408
pairwise:static__perturb,T1038-D2,0.8300
pairwise:static__perturb,T1039-D1,0.7279
pairwise:static__perturb,T1046s1-D1,0.7774
pairwise:static__perturb,T1046s2-D1,0.8192
pairwise:static__perturb,T1049-D1,0.4654
pairwise:static__perturb,T1050-D1,0.9159
pairwise:static__perturb,T1050-D2,0.9346
pairwise:static__perturb,T1050-D3,0.8723
pairwise:static__perturb,T1054-D1,0.8459
pairwise:static__perturb,T1056-D1,0.7868
pairwise:static__perturb,T1057-D1,0.9075
pairwise:static__perturb,T1064-D1,0.8005
pairwise:static__perturb,T1067-D1,0.7723
pairwise:static__perturb,T1070-D2,0.7769
pairwise:static__perturb,T1073-D1,0.8776
pairwise:static__perturb,T1079-D1,0.8459
pairwise:static__perturb,T1082-D1,0.8797
pairwise:static__perturb,T1089-D1,0.8811
pairwise:static__perturb,T1090-D1,0.6965
pairwise:static__perturb,T1099-D1,0.5535
pairwise:static__gate,T1024-D1,0.6791
pairwise:static__gate,T1024-D2,0.7250
pairwise:static__gate,T1025-D1,0.8103
pairwise:static__gate,T1026-D1,0.6350
pairwise:static__gate,T1030-D1,0.7832
pairwise:static__gate,T1030-D2,0.7537
pairwise:static__gate,T1031-D1,0.5775
pairwise:static__gate,T1032-D1,0.6682
pairwise:static__gate,T1033-D1,0.7356
pairwise:static__gate,T1034-D1,0.6374
pairwise:static__gate,T1036s1-D1,0.4273
pairwise:static__gate,T1038-D1,0.4618
pairwise:static__gate,T1038-D2,0.6248
pairwise:static__gate,T1039-D1,0.5530
pairwise:static__gate,T1046s1-D1,0.6957
pairwise:static__gate,T1046s2-D1,0.7226
pairwise:static__gate,T1049-D1,0.4216
pairwise:static__gate,T1050-D1,0.8069
pairwise:static__gate,T1050-D2,0.8285
pairwise:static__gate,T1050-D3,0.7200
pairwise:static__gate,T1054-D1,0.7593
pairwise:static__gate,T1056-D1,0.6897
pairwise:static__gate,T1057-D1,0.8022
pairwise:static__gate,T1064-D1,0.5485
pairwise:static__gate,T1067-D1,0.6671
pairwise:static__gate,T1070-D2,0.6900
pairwise:static__gate,T1073-D1,0.7545
pairwise:static__gate,T1079-D1,0.7392
pairwise:static__gate,T1082-D1,0.6544
pairwise:static__gate,T1089-D1,0.7789
pairwise:static__gate,T1090-D1,0.6039
pairwise:static__gate,T1099-D1,0.5239
pairwise:static__gate_perturb,T1024-D1,0.6571
pairwise:static__gate_perturb,T1024-D2,0.7269
pairwise:static__gate_perturb,T1025-D1,0.8049
pairwise:static__gate_perturb,T1026-D1,0.6427
pairwise:static__gate_perturb,T1030-D1,0.8109
pairwise:static__gate_perturb,T1030-D2,0.7847
pairwise:static__gate_perturb,T1031-D1,0.6696
pairwise:static__gate_perturb,T1032-D1,0.6844
pairwise:static__gate_perturb,T1033-D1,0.7792
pairwise:static__gate_perturb,T1034-D1,0.6611
pairwise:static__gate_perturb,T1036s1-D1,0.4041
pairwise:static__gate_perturb,T1038-D1,0.4599
pairwise:static__gate_perturb,T1038-D2,0.6858
pairwise:static__gate_perturb,T1039-D1,0.5749
pairwise:static__gate_perturb,T1046s1-D1,0.7258
pairwise:static__gate_perturb,T1046s2-D1,0.7496
pairwise:static__gate_perturb,T1049-D1,0.4805
pairwise:static__gate_perturb,T1050-D1,0.7677
pairwise:static__gate_perturb,T1050-D2,0.7968
pairwise:static__gate_perturb,T1050-D3,0.7875
pairwise:static__gate_perturb,T1054-D1,0.7770
pairwise:static__gate_perturb,T1056-D1,0.7173
pairwise:static__gate_perturb,T1057-D1,0.8185
pairwise:static__gate_perturb,T1064-D1,0.5987
pairwise:static__gate_perturb,T1067-D1,0.6759
pairwise:static__gate_perturb,T1070-D2,0.7184
pairwise:static__gate_perturb,T1073-D1,0.8098
pairwise:static__gate_perturb,T1079-D1,0.7102
pairwise:static__gate_perturb,T1082-D1,0.7297
pairwise:static__gate_perturb,T1089-D1,0.7422
pairwise:static__gate_perturb,T1090-D1,0.5147
pairwise:static__gate_perturb,T1099-D1,0.5543
pairwise:static__attnobias,T1024-D1,0.7953
pairwise:static__attnobias,T1024-D2,0.8010
pairwise:static__attnobias,T1025-D1,0.9005
pairwise:static__attnobias,T1026-D1,0.7173
pairwise:static__attnobias,T1030-D1,0.9355
pairwise:static__attnobias,T1030-D2,0.8421
pairwise:static__attnobias,T1031-D1,0.7366
pairwise:static__attnobias,T1032-D1,0.7210
pairwise:static__attnobias,T1033-D1,0.8184
pairwise:static__attnobias,T1034-D1,0.7539
pairwise:static__attnobias,T1036s1-D1,0.6094
pairwise:static__attnobias,T1038-D1,0.6393
pairwise:static__attnobias,T1038-D2,0.7869
pairwise:static__attnobias,T1039-D1,0.7163
pairwise:static__attnobias,T1046s1-D1,0.7731
pairwise:static__attnobias,T1046s2-D1,0.8128
pairwise:static__attnobias,T1049-D1,0.5486
pairwise:static__attnobias,T1050-D1,0.8941
pairwise:static__attnobias,T1050-D2,0.9077
pairwise:static__attnobias,T1050-D3,0.8470
pairwise:static__attnobias,T1054-D1,0.8452
pairwise:static__attnobias,T1056-D1,0.8548
pairwise:static__attnobias,T1057-D1,0.8776
pairwise:static__attnobias,T1064-D1,0.7803
pairwise:static__attnobias,T1067-D1,0.7448
pairwise:static__attnobias,T1070-D2,0.7953
pairwise:static__attnobias,T1073-D1,0.8500
pairwise:static__attnobias,T1079-D1,0.7628
pairwise:static__attnobias,T1082-D1,0.8454
pairwise:static__attnobias,T1089-D1,0.8592
pairwise:static__attnobias,T1090-D1,0.7091
pairwise:static__attnobias,T1099-D1,0.6473
pairwise:static_perturb__perturb,T1024-D1,0.8270
pairwise:static_perturb__perturb,T1024-D2,0.8322
pairwise:static_perturb__perturb,T1025-D1,0.8939
pairwise:static_perturb__perturb,T1026-D1,0.7228
