set,target,L,p_at_l5,p_at_l1
casp15,T1137s3-D1,149,0.6206896305084229,0.30201342701911926
casp15,T1137s3-D2,164,0.0,0.0
casp15,T1137s4-D1,116,0.8260869383811951,0.4396551847457886
casp15,T1137s4-D2,235,0.021276595070958138,0.021276595070958138
casp15,T1137s4-D3,74,0.2142857164144516,0.1621621549129486
casp15,T1137s5-D1,137,0.8148148059844971,0.38686132431030273
casp15,T1137s5-D2,221,0.0,0.0
casp15,T1137s6-D1,151,0.800000011920929,0.33774834871292114
casp15,T1137s6-D2,248,0.06122449040412903,0.04032257944345474
casp15,T1137s7-D1,300,0.7166666388511658,0.4633333384990692
casp15,T1137s8-D1,251,0.03999999910593033,0.05179283022880554
casp15,T1137s9-D1,265,0.056603774428367615,0.06792452931404114
casp15,T1139-D1,295,0.9322034120559692,0.6067796349525452
casp15,T1145-D1,99,0.2631579041481018,0.17171716690063477
casp15,T1145-D2,529,0.7904762029647827,0.482041597366333
casp15,T1150-D1,349,0.23188406229019165,0.09455587714910507
casp15,T1157s1-D1,661,0.5984848737716675,0.2662632465362549
casp15,T1157s1-D2,114,0.09090909361839294,0.061403509229421616
casp15,T1157s1-D3,233,0.30434781312942505,0.17596566677093506
casp15,T1157s2-D1,106,0.6666666865348816,0.46226415038108826
casp15,T1157s2-D2,217,0.6511628031730652,0.47926267981529236
casp15,T1157s2-D3,141,0.7142857313156128,0.43262410163879395
casp15,T1170-D1,240,0.8333333134651184,0.5083333253860474
casp15,T1170-D2,72,0.6428571343421936,0.4583333432674408
casp15,T1180-D1,381,0.8289473652839661,0.5275590419769287
casp15,T1187-D1,164,0.9375,0.5
casp15,T1188-D1,573,0.7894737124443054,0.48691099882125854
casp15,T1194-D1,161,0.25,0.1801242232322693
cameo,5OD1_A,94,0.6666666865348816,0.3617021143436432
cameo,5OD9_B,88,0.5882353186607361,0.3863636255264282
cameo,5OQK_A,147,0.13793103396892548,0.06802721321582794
cameo,5OVM_A,82,0.1875,0.0731707289814949
cameo,5W5P_A,610,0.8196721076965332,0.4163934290409088
cameo,5WB4_H,193,0.7631579041481018,0.5336787700653076
cameo,5XJO_E,42,0.375,0.261904776096344
cameo,5XKJ_F,45,0.2222222238779068,0.08888889104127884
cameo,5XKN_F,34,0.1666666716337204,0.11764705926179886
cameo,5Y08_A,205,0.5365853905677795,0.33170732855796814
cameo,5YA6_B,165,0.1515151560306549,0.15757575631141663
cameo,5YRQ_E,121,0.4166666567325592,0.1652892529964447
cameo,5YVQ_A,358,0.3239436745643616,0.24301676452159882
cameo,5YVQ_B,103,0.25,0.13592232763767242
cameo,5Z2H_B,91,0.6666666865348816,0.36263737082481384
cameo,5Z2I_D,92,0.6666666865348816,0.3586956560611725
cameo,5Z34_A,361,0.6527777910232544,0.42105263471603394
cameo,5Z36_A,154,0.7666666507720947,0.4220779240131378
cameo,5Z3F_A,371,0.7837837934494019,0.4609164297580719
cameo,5Z3K_B,483,0.75,0.5590062141418457
cameo,5Z6D_B,204,0.30000001192092896,0.21568627655506134
cameo,5Z7C_A,414,0.5121951103210449,0.2246376872062683
cameo,5Z8B_B,204,0.625,0.37254902720451355
cameo,5Z9T_B,499,0.8787878751754761,0.6853707432746887
cameo,5ZB2_A,402,0.9750000238418579,0.7910447716712952
cameo,5ZER_B,346,0.7971014380455017,0.6184971332550049
cameo,5ZKE_A,174,0.05882352963089943,0.08045977354049683
cameo,5ZKH_B,168,0.1818181872367859,0.1547619104385376
cameo,5ZKT_B,55,0.09090909361839294,0.072727270424366
cameo,5ZME_A,638,0.7086614370346069,0.32758620381355286
cameo,5ZNS_A,381,0.6052631735801697,0.3779527544975281
cameo,5ZOR_A,149,0.37931033968925476,0.21476510167121887
cameo,5ZT7_B,252,0.6800000071525574,0.5476190447807312
cameo,5ZX9_A,165,0.6969696879386902,0.5757575631141663
cameo,5ZYO_D,152,0.0,0.0
cameo,6A2W_A,166,0.1515151560306549,0.10240963846445084
cameo,6A5F_B,151,0.5666666626930237,0.430463582277298
cameo,6A5G_B,157,0.5161290168762207,0.4331210255622864
cameo,6A68_A,162,0.09375,0.09259258955717087
cameo,6A83_A,357,0.6901408433914185,0.4089635908603668
cameo,6A9J_B,339,0.28358209133148193,0.1622418910264969
cameo,6A9W_A,281,0.5,0.23487544059753418
cameo,6AE1_B,114,0.3636363744735718,0.11403508484363556
cameo,6AE9_B,253,0.6200000047683716,0.4268774688243866
cameo,6AEF_A,458,0.6703296899795532,0.31004366278648376
cameo,6AGH_B,274,0.31481480598449707,0.16423358023166656
cameo,6AGJ_B,315,0.3968254029750824,0.18730159103870392
cameo,6AHQ_T,107,0.7142857313156128,0.4112149477005005
cameo,6AIT_F,406,0.7530864477157593,0.45812806487083435
cameo,6AJJ_A,901,0.38333332538604736,0.1920088827610016
cameo,6AKJ_B,110,0.22727273404598236,0.08181817829608917
cameo,6BEA_A,433,0.8720930218696594,0.6651270389556885
cameo,6BS5_A,330,0.6212121248245239,0.32424241304397583
cameo,6BS5_B,355,0.6478873491287231,0.36056336760520935
cameo,6BWH_C,200,0.7749999761581421,0.5049999952316284
cameo,6BXS_C,270,0.48148149251937866,0.25925925374031067
cameo,6BXW_A,267,0.09433962404727936,0.048689138144254684
cameo,6BZJ_A,57,0.0,0.0
cameo,6BZK_A,57,0.0,0.0
cameo,6BZT_D,501,0.6800000071525574,0.31736525893211365
cameo,6CB6_A,118,0.1304347813129425,0.04237288236618042
cameo,6CCI_A,354,0.5857142806053162,0.3050847351551056
cameo,6CGO_B,508,0.6534653306007385,0.32677164673805237
cameo,6CK1_D,375,0.6933333277702332,0.5920000076293945
cameo,6CMK_A,375,0.8133333325386047,0.6346666812896729
cameo,6CP8_B,162,0.6875,0.32098764181137085
cameo,6CP8_D,157,0.5161290168762207,0.3439490497112274
cameo,6CP9_G,109,0.6666666865348816,0.40366971492767334
cameo,6CP9_H,114,0.3636363744735718,0.2719298303127289
cameo,6CPU_A,526,0.18095238506793976,0.11216729879379272
cameo,6CSV_D,86,0.05882352963089943,0.03488372266292572
cameo,6CUL_H,267,0.698113203048706,0.3333333432674408
cameo,6CZ6_D,326,0.2153846174478531,0.15644171833992004
cameo,6CZT_A,82,0.8125,0.45121949911117554
cameo,6D0I_C,159,0.06451612710952759,0.050314463675022125
cameo,6D0I_D,71,0.3571428656578064,0.1690140813589096
cameo,6D2S_A,275,0.2545454502105713,0.16727273166179657
cameo,6D7Y_A,92,0.5,0.22826087474822998
cameo,6D7Y_B,155,0.35483869910240173,0.25161290168762207
cameo,6D97_D,522,0.6153846383094788,0.29501914978027344
cameo,6D9F_B,322,0.5625,0.22049689292907715
cameo,6D9M_A,326,0.800000011920929,0.453987717628479
cameo,6DAN_D,323,0.84375,0.529411792755127
cameo,6DFL_A,241,0.6875,0.4730290472507477
cameo,6DGN_B,91,0.1111111119389534,0.1538461595773697
cameo,6DII_L,616,0.5528455376625061,0.2467532455921173
cameo,6DKA_I,226,0.6222222447395325,0.3053097426891327
cameo,6DKM_G,76,0.20000000298023224,0.1184210553765297
cameo,6DLC_A,105,0.5714285969734192,0.2380952388048172
cameo,6DLO_A,311,0.8548387289047241,0.6237941980361938
cameo,6DRF_A,143,0.0714285746216774,0.04895104840397835
cameo,6E0K_A,295,0.5254237055778503,0.2508474588394165
cameo,6E0M_A,272,0.48148149251937866,0.2720588147640228
cameo,6E3C_C,134,0.19230769574642181,0.09701492637395859
cameo,6E9B_D,368,0.6027397513389587,0.39673912525177
cameo,6E9O_A,393,0.6282051205635071,0.43002545833587646
cameo,6EAZ_B,328,0.4307692348957062,0.19512194395065308
cameo,6EDB_B,67,0.6153846383094788,0.23880596458911896
cameo,6EGC_A,147,0.06896551698446274,0.1428571492433548
cameo,6FCG_F,393,0.5128205418586731,0.4452926218509674
cameo,6FTO_C,75,0.0,0.013333333656191826
cameo,6FXD_B,121,0.875,0.5206611752510071
cameo,6G1H_A,342,0.7941176295280457,0.4736842215061188
cameo,6G3B_B,225,0.4000000059604645,0.17777778208255768
cameo,6G70_B,510,0.7254902124404907,0.5274509787559509
cameo,6G7G_A,115,0.43478259444236755,0.2347826063632965
cameo,6G7O_A,350,0.4000000059604645,0.20571428537368774
cameo,6G8Y_A,92,0.0,0.043478261679410934
cameo,6GCJ_A,121,0.2083333283662796,0.07438016682863235
cameo,6GDJ_B,69,0.6153846383094788,0.260869562625885
cameo,6GHO_B,274,0.6851851940155029,0.40145984292030334
cameo,6GMA_F,120,0.5416666865348816,0.38333332538604736
cameo,6GMS_A,132,0.11538461595773697,0.03030303120613098
cameo,6GW7_A,59,0.27272728085517883,0.10169491171836853
cameo,6H2X_A,352,0.17142857611179352,0.05681818351149559
cameo,6H6N_B,118,0.21739129722118378,0.16101695597171783
cameo,6HC2_X,40,0.0,0.0
cameo,6HPV_A,299,0.20338982343673706,0.14381271600723267
cameo,6I1R_B,310,0.24193547666072845,0.14193548262119293
cameo,6I9H_A,92,0.6666666865348816,0.32608696818351746
cameo,6IAI_D,106,0.3333333432674408,0.1603773534297943
cameo,6IEH_A,85,0.05882352963089943,0.0235294122248888
cameo,6N0T_A,383,0.25,0.1409921646118164
cameo,6N8P_A,827,0.8121212124824524,0.6130592226982117
cameo,6NU4_A,56,0.0,0.0
cameo,6NX4_A,167,0.7272727489471436,0.473053902387619
cameo,6OHZ_A,210,0.3333333432674408,0.24761904776096344
