test_set,target,len,best_pmf,best_id,best_cov,n_id>=25,n_id>=30,n_id>=50,n_id>=90,n_id=100
cameo,5ZKT_B,55,5zkt_a,100.0,1.0,323,143,1,1,1
cameo,6AAY_A,1199,6dtd_a,21.5,1.17,319,62,0,0,0
cameo,5YVQ_A,358,5nxf_a,42.3,0.4,102,19,0,0,0
cameo,5ZOR_A,149,5e1n_a,40.1,1.04,175,35,0,0,0
cameo,6CPU_A,526,1tbf_a,26.7,0.82,150,31,0,0,0
cameo,6EGC_A,147,8w6e_a,36.8,0.98,335,92,0,0,0
cameo,6EDB_B,67,7jjk_a,50.7,1.0,258,65,1,0,0
cameo,5OD9_B,88,3v1a_a,80.0,0.98,198,35,1,0,0
cameo,5OD1_A,94,3v1a_a,76.1,1.0,154,29,1,0,0
cameo,6BEA_A,433,7o23_a,26.7,0.95,203,44,0,0,0
cameo,6D97_D,522,5jry_a,25.2,0.59,153,39,0,0,0
cameo,5W5P_A,610,6w4q_a,36.8,0.14,157,33,0,0,0
cameo,5OQK_A,147,4g7v_s,29.0,1.01,21,0,0,0,0
cameo,6DKM_G,76,8w6e_a,36.4,1.01,610,198,0,0,0
cameo,6AKJ_B,110,7o6l_a,26.7,0.95,59,4,0,0,0
cameo,6AE1_B,114,5an6_a,25.5,0.89,216,26,0,0,0
cameo,6CGO_B,508,8s6l_a,26.6,0.63,160,48,0,0,0
cameo,6I9H_A,92,8a38_a,34.5,0.77,74,29,0,0,0
cameo,6H2X_A,352,8qkd_a,21.2,1.15,214,56,0,0,0
cameo,6E9O_A,393,5oxo_a,27.2,0.37,48,17,0,0,0
cameo,6AHQ_T,107,7sgp_a,22.9,1.03,190,42,0,0,0
cameo,5OVM_A,82,2es4_d,43.5,0.76,331,90,0,0,0
cameo,5Z9T_B,499,1fep_a,20.6,0.78,166,34,0,0,0
cameo,5ZME_A,638,6yb5_a,24.0,1.08,203,51,0,0,0
cameo,5ZT7_B,252,1lfp_a,22.7,0.68,93,18,0,0,0
cameo,6FCG_F,393,6d2c_a,27.4,0.28,128,34,0,0,0
cameo,6DLC_A,105,8w6e_a,20.4,1.08,287,61,0,0,0
cameo,6G1H_A,342,9i25_c,22.1,0.86,106,11,0,0,0
cameo,5ZNS_A,381,2c71_a,25.0,0.51,72,15,0,0,0
cameo,6BS5_B,355,6n4l_a,43.8,0.11,114,26,0,0,0
cameo,6BWH_C,200,8k7z_a,30.4,0.53,106,32,0,0,0
cameo,5Z3F_A,371,5br7_a,34.8,0.12,69,14,0,0,0
cameo,5ZKE_A,174,6iv9_a,31.6,0.33,92,23,0,0,0
cameo,6DLO_A,311,7mt1_a,23.8,0.76,82,16,0,0,0
cameo,6BZT_D,501,1d5t_a,32.3,0.15,144,32,0,0,0
cameo,6G70_B,510,8w6e_a,25.5,0.7,188,43,0,0,0
cameo,6BS5_A,330,6n4l_a,50.0,0.11,139,37,0,0,0
cameo,6N8P_A,827,4i0o_a,23.8,0.32,162,41,0,0,0
cameo,5ZER_B,346,2fba_a,26.4,0.36,107,33,0,0,0
cameo,5ZB2_A,402,1pgv_a,28.8,0.44,155,42,0,0,0
cameo,6E3C_C,134,4cfi_a,25.2,0.92,120,24,0,0,0
cameo,6N0T_A,383,5dze_a,23.8,0.81,127,37,0,0,0
cameo,6E9B_D,368,2woy_a,25.8,0.82,189,36,0,0,0
cameo,6AGH_B,274,8y0b_a,21.3,0.64,91,25,0,0,0
cameo,5Z34_A,361,6tj0_a,26.5,0.32,51,7,0,0,0
cameo,5Z7C_A,414,4ind_a,30.8,0.14,133,34,0,0,0
cameo,5ZKH_B,168,6br8_a,30.9,0.33,112,16,0,0,0
cameo,6AIT_F,406,3q23_a,21.1,0.74,189,51,0,0,0
cameo,6BXW_A,267,3zoj_a,32.1,0.3,94,25,0,0,0
cameo,6DFL_A,241,5x89_a,30.5,0.39,94,28,0,0,0
cameo,5Y08_A,205,9t0n_a,24.3,0.84,139,27,0,0,0
cameo,5Z3K_B,483,3k0y_a,25.3,0.89,114,26,0,0,0
cameo,6CZ6_D,326,1w66_a,28.0,0.55,77,25,0,0,0
cameo,6D0I_D,71,5cec_a,35.7,0.79,265,101,0,0,0
cameo,6D9F_B,322,7drj_a,28.1,0.51,116,31,0,0,0
cameo,6G8Y_A,92,9sya_a,35.6,0.64,118,28,0,0,0
cameo,6HPV_A,299,6ei1_a,22.4,0.42,98,25,0,0,0
cameo,6OHZ_A,210,6ljl_a,23.0,0.48,139,28,0,0,0
cameo,6AGJ_B,315,1upk_a,25.5,0.53,142,29,0,0,0
cameo,6CUL_H,267,5xea_a,38.1,0.16,112,27,0,0,0
cameo,6EAZ_B,328,5e1n_a,26.2,0.61,133,26,0,0,0
cameo,6FXD_B,121,5b2p_a,33.9,0.51,112,18,0,0,0
cameo,6NX4_A,167,3tjm_a,30.0,0.36,99,28,0,0,0
cameo,5Z8B_B,204,6tv1_a,21.9,0.76,64,15,0,0,0
cameo,6AE9_B,253,4lix_a,29.5,0.35,99,27,0,0,0
cameo,6DRF_A,143,9lni_a,20.5,1.02,103,15,0,0,0
cameo,5WB4_H,193,4ae2_a,27.3,0.4,100,16,0,0,0
cameo,6BZJ_A,57,2ap3_a,33.3,0.95,547,269,0,0,0
cameo,6CZT_A,82,3m5q_a,32.4,0.45,292,87,0,0,0
cameo,6G3B_B,225,8arl_a,21.8,0.49,94,29,0,0,0
cameo,6GHO_B,274,3nvs_a,23.3,0.77,111,28,0,0,0
cameo,6GMS_A,132,5e6x_a,26.5,0.52,84,13,0,0,0
cameo,5YRQ_E,121,6c8c_a,30.4,0.58,79,12,0,0,0
cameo,6DKA_I,226,6pwy_a,27.5,0.4,75,11,0,0,0
cameo,5Z36_A,154,3m1t_a,31.2,0.31,61,11,0,0,0
cameo,6CP9_H,114,6w9o_a,36.6,0.62,125,18,0,0,0
cameo,6DAN_D,323,5u3a_a,29.9,0.24,90,35,0,0,0
cameo,6BXS_C,270,8bjj_b,24.3,0.27,84,22,0,0,0
cameo,6CCI_A,354,7c6c_a,22.9,0.58,74,14,0,0,0
cameo,6CP9_G,109,6vek_a,15.1,0.79,166,28,0,0,0
cameo,6D2S_A,275,2wvq_a,22.7,0.88,79,26,0,0,0
cameo,5Z6D_B,204,5m8c_a,24.8,0.53,98,21,0,0,0
cameo,6A68_A,162,5fc2_b,33.8,0.4,77,11,0,0,0
cameo,6IAI_D,106,4q1z_a,19.6,0.87,197,25,0,0,0
cameo,5ZYO_D,152,6spo_a,26.7,0.49,72,11,0,0,0
cameo,6A5F_B,151,9l8e_a,31.1,0.49,91,12,0,0,0
cameo,6A5G_B,157,4l8p_a,26.8,0.62,80,10,0,0,0
cameo,6BZK_A,57,9r2v_a,32.7,0.91,605,272,0,0,0
cameo,6GW7_A,59,6hq6_a,43.8,0.54,482,193,0,0,0
cameo,6G7G_A,115,9gro_a,25.5,0.48,63,8,0,0,0
cameo,5Z2H_B,91,5un8_a,21.8,0.96,334,75,0,0,0
cameo,5Z2I_D,92,1nu7_d,27.1,1.04,304,70,0,0,0
cameo,5ZX9_A,165,6nz5_a,26.9,0.41,62,13,0,0,0
cameo,6GCJ_A,121,3iez_a,30.4,0.6,75,14,0,0,0
cameo,6H6N_B,118,1k3x_a,32.6,0.78,137,32,0,0,0
cameo,6NU4_A,56,4q4w_2,31.4,0.91,167,76,0,0,0
cameo,6DGN_B,91,5wd6_a,35.1,0.41,215,39,0,0,0
cameo,6IEH_A,85,5cl8_a,26.8,0.66,130,21,0,0,0
cameo,5XKJ_F,45,6bmn_a,30.3,0.73,61,26,0,0,0
cameo,5XKN_F,34,8olj_b,26.7,0.88,27,14,0,0,0
cameo,6HC2_X,40,8qjd_a,41.7,0.9,117,54,0,0,0
cameo,5XJO_E,42,2bou_a,31.4,0.83,47,21,0,0,0
casp14,T1090-D1,196,7k7w_a,95.7,1.04,25,9,1,1,0
casp14,T1046s2-D1,141,6px4_b,100.0,1.0,60,7,1,1,1
casp14,T1054-D1,143,6v4v_a,97.2,1.03,119,13,1,1,0
casp14,T1049-D1,139,6y4e_a,96.3,1.01,56,12,1,1,0
casp14,T1038-D1,114,6ya2_a,100.0,0.98,95,20,1,1,1
casp14,T1038-D2,76,6ya2_a,100.0,1.0,347,86,1,1,1
casp14,T1064-D1,75,7jx6_a,84.3,1.19,125,34,1,0,0
casp14,T1046s1-D1,72,6px4_a,100.0,1.0,208,42,1,1,1
casp14,T1082-D1,73,7cn7_c,90.7,1.03,319,84,1,1,0
casp14,T1057-D1,235,2dpm_a,28.9,1.13,82,15,0,0,0
casp14,T1056-D1,169,4qp5_a,36.1,0.89,82,17,0,0,0
casp14,T1036s1-D1,583,4osn_a,30.0,0.82,120,24,0,0,0
casp14,T1025-D1,257,5fcd_a,29.7,0.53,110,26,0,0,0
casp14,T1024-D1,193,5oxo_a,24.6,0.91,44,9,0,0,0
casp14,T1099-D1,178,8i71_a,37.2,0.29,58,16,0,0,0
casp14,T1070-D2,101,9cse_a,36.5,0.73,173,28,0,0,0
casp14,T1089-D1,373,8g1l_a,26.0,0.58,105,14,0,0,0
casp14,T1024-D2,198,5uni_b,24.1,0.59,33,8,0,0,0
casp14,T1033-D1,100,8whn_a,26.7,0.6,272,33,0,0,0
casp14,T1030-D1,154,6rjx_a,25.7,0.66,207,31,0,0,0
casp14,T1039-D1,161,2wpv_a,29.0,0.58,146,26,0,0,0
casp14,T1050-D2,316,8q4e_a,26.7,0.7,91,20,0,0,0
casp14,T1079-D1,451,4m0m_a,26.2,0.27,131,31,0,0,0
casp14,T1050-D3,128,3hxl_a,26.5,0.77,128,18,0,0,0
casp14,T1030-D2,119,3bn0_a,35.8,0.56,187,31,0,0,0
casp14,T1067-D1,221,5tip_a,28.6,0.25,61,15,0,0,0
casp14,T1031-D1,95,6iab_a,28.8,0.77,275,62,0,0,0
casp14,T1050-D1,321,6q4z_a,26.4,0.28,90,21,0,0,0
casp14,T1034-D1,158,6qaz_a,23.7,1.11,62,10,0,0,0
casp14,T1026-D1,146,1xip_a,32.3,0.45,46,6,0,0,0
casp14,T1032-D1,170,6qe0_a,42.4,0.19,66,18,0,0,0
casp14,T1073-D1,59,5v5t_a,30.6,0.83,380,154,0,0,0
casp15,T1145-D2,529,7uwv_a,99.2,1.0,142,36,1,1,0
casp15,T1194-D1,161,8okh_a,100.0,1.0,125,29,1,1,1
casp15,T1120-D1,118,7udi_a,99.2,1.0,160,42,1,1,0
casp15,T1104-D1,117,7roa_a,98.3,1.02,152,21,1,1,0
casp15,T1188-D1,573,4wka_a,27.7,1.09,198,53,0,0,0
casp15,T1120-D2,110,7udi_a,82.9,0.95,254,50,1,0,0
casp15,T1137s7-D1,300,6z4w_a,36.8,0.8,106,35,0,0,0
casp15,T1180-D1,381,4cnn_a,32.6,0.88,175,40,0,0,0
casp15,T1157s1-D1,661,4ayo_a,27.7,1.22,136,35,0,0,0
casp15,T1119-D1,48,7sq4_a,100.0,1.0,446,198,1,1,1
casp15,T1157s2-D1,106,3wgx_a,42.2,0.96,127,26,0,0,0
casp15,T1157s2-D3,141,3wgx_a,37.1,0.82,94,16,0,0,0
casp15,T1139-D1,295,5d66_a,36.5,0.54,92,22,0,0,0
casp15,T1137s1-D1,150,6vci_a,33.3,0.46,113,18,0,0,0
casp15,T1137s8-D1,251,6l85_a,30.5,0.42,70,16,0,0,0
casp15,T1137s9-D1,265,6afw_a,26.9,0.55,69,14,0,0,0
casp15,T1129s2-D1,563,6kfn_a,22.9,0.69,128,24,0,0,0
casp15,T1157s2-D2,217,3ec3_a,21.7,1.06,146,27,0,0,0
casp15,T1121-D2,168,5guf_a,25.5,0.7,86,26,0,0,0
casp15,T1137s1-D2,240,8aep_a,27.7,0.39,77,10,0,0,0
casp15,T1157s1-D3,233,4f1v_a,41.9,0.18,60,18,0,0,0
casp15,T1109-D1,214,3clq_a,27.7,0.61,63,12,0,0,0
casp15,T1187-D1,164,9uyv_a,26.6,0.57,105,13,0,0,0
casp15,T1137s3-D1,149,3mml_a,29.1,0.37,98,11,0,0,0
casp15,T1137s5-D2,221,5mfi_a,22.7,0.64,122,21,0,0,0
casp15,T1170-D1,240,6afw_a,35.5,0.26,104,24,0,0,0
casp15,T1145-D1,99,2w91_a,27.3,0.78,192,33,0,0,0
casp15,T1150-D1,349,2huj_a,28.2,0.61,90,31,0,0,0
casp15,T1133-D1,409,7byf_c,24.5,0.25,85,19,0,0,0
casp15,T1137s2-D1,149,4jf8_a,30.1,0.65,110,20,0,0,0
casp15,T1124-D1,378,5zry_a,27.3,0.46,120,33,0,0,0
casp15,T1137s2-D2,194,4zh0_a,23.2,0.42,122,22,0,0,0
casp15,T1123-D1,214,4m3z_a,30.4,0.21,50,7,0,0,0
casp15,T1137s4-D2,235,4w4k_b,25.0,0.65,128,24,0,0,0
casp15,T1137s3-D2,164,1l1l_a,24.8,0.91,201,37,0,0,0
casp15,T1170-D2,72,6hq6_a,37.2,0.6,291,78,0,0,0
casp15,T1137s6-D2,248,5h2d_a,43.2,0.15,126,31,0,0,0
casp15,T1121-D1,196,4boe_a,28.0,0.81,77,24,0,0,0
casp15,T1137s6-D1,151,1ds1_a,27.4,0.75,95,13,0,0,0
casp15,T1137s4-D1,116,4xmr_a,28.3,0.52,124,22,0,0,0
casp15,T1137s5-D1,137,2je6_a,26.2,0.45,112,22,0,0,0
casp15,T1106s2-D1,111,6geh_a,30.9,0.61,98,23,0,0,0
casp15,T1157s1-D2,114,2ozn_a,22.0,0.96,158,30,0,0,0
casp15,T1106s1-D1,71,9jyn_a,20.3,0.9,361,118,0,0,0
casp15,T1137s4-D3,74,5o2x_a,40.0,0.41,209,68,0,0,0
