backbone,benchmark,target_id,seed,permutation,condition,p_at_l5
ESM2-35M,casp14,T1050-D2,1,real,phys35m,0.9206
ESM2-35M,casp14,T1050-D3,1,real,phys35m,0.8800
ESM2-35M,casp14,T1054-D1,1,real,phys35m,0.6429
ESM2-35M,casp14,T1056-D1,1,real,phys35m,0.7879
ESM2-35M,casp14,T1057-D1,1,real,phys35m,0.7021
ESM2-35M,casp14,T1064-D1,1,real,phys35m,0.6000
ESM2-35M,casp14,T1067-D1,1,real,phys35m,0.6364
ESM2-35M,casp14,T1070-D2,1,real,phys35m,0.4500
ESM2-35M,casp14,T1073-D1,1,real,phys35m,0.8182
ESM2-35M,casp14,T1079-D1,1,real,phys35m,0.2222
ESM2-35M,casp14,T1082-D1,1,real,phys35m,0.0714
ESM2-35M,casp14,T1089-D1,1,real,phys35m,0.8649
ESM2-35M,casp14,T1090-D1,1,real,phys35m,0.1795
ESM2-35M,casp14,T1099-D1,1,real,phys35m,0.2571
ESM2-35M,casp14,T1024-D1,2,real,phys35m,0.3684
ESM2-35M,casp14,T1024-D2,2,real,phys35m,0.3846
ESM2-35M,casp14,T1025-D1,2,real,phys35m,1.0000
ESM2-35M,casp14,T1026-D1,2,real,phys35m,0.1724
ESM2-35M,casp14,T1030-D1,2,real,phys35m,0.5000
ESM2-35M,casp14,T1030-D2,2,real,phys35m,0.1304
ESM2-35M,casp14,T1031-D1,2,real,phys35m,0.1579
ESM2-35M,casp14,T1032-D1,2,real,phys35m,0.5588
ESM2-35M,casp14,T1033-D1,2,real,phys35m,0.0500
ESM2-35M,casp14,T1034-D1,2,real,phys35m,0.4516
ESM2-35M,casp14,T1038-D1,2,real,phys35m,0.2727
ESM2-35M,casp14,T1038-D2,2,real,phys35m,0.3333
ESM2-35M,casp14,T1039-D1,2,real,phys35m,0.1562
ESM2-35M,casp14,T1046s1-D1,2,real,phys35m,0.1429
ESM2-35M,casp14,T1046s2-D1,2,real,phys35m,0.8571
ESM2-35M,casp14,T1049-D1,2,real,phys35m,0.1481
ESM2-35M,casp14,T1050-D1,2,real,phys35m,0.8438
ESM2-35M,casp14,T1050-D2,2,real,phys35m,0.8730
ESM2-35M,casp14,T1050-D3,2,real,phys35m,0.7200
ESM2-35M,casp14,T1054-D1,2,real,phys35m,0.7857
ESM2-35M,casp14,T1056-D1,2,real,phys35m,0.8182
ESM2-35M,casp14,T1057-D1,2,real,phys35m,0.8298
ESM2-35M,casp14,T1064-D1,2,real,phys35m,0.2667
ESM2-35M,casp14,T1067-D1,2,real,phys35m,0.4773
ESM2-35M,casp14,T1070-D2,2,real,phys35m,0.2500
ESM2-35M,casp14,T1073-D1,2,real,phys35m,0.6364
ESM2-35M,casp14,T1079-D1,2,real,phys35m,0.3000
ESM2-35M,casp14,T1082-D1,2,real,phys35m,0.1429
ESM2-35M,casp14,T1089-D1,2,real,phys35m,0.8649
ESM2-35M,casp14,T1090-D1,2,real,phys35m,0.0769
ESM2-35M,casp14,T1099-D1,2,real,phys35m,0.2286
ESM2-35M,casp14,T1024-D1,0,perm0,pert35m_p0,0.3684
ESM2-35M,casp14,T1024-D2,0,perm0,pert35m_p0,0.2564
ESM2-35M,casp14,T1025-D1,0,perm0,pert35m_p0,0.9412
ESM2-35M,casp14,T1026-D1,0,perm0,pert35m_p0,0.0690
ESM2-35M,casp14,T1030-D1,0,perm0,pert35m_p0,0.5000
ESM2-35M,casp14,T1030-D2,0,perm0,pert35m_p0,0.2174
ESM2-35M,casp14,T1031-D1,0,perm0,pert35m_p0,0.1053
ESM2-35M,casp14,T1032-D1,0,perm0,pert35m_p0,0.1176
ESM2-35M,casp14,T1033-D1,0,perm0,pert35m_p0,0.1500
ESM2-35M,casp14,T1034-D1,0,perm0,pert35m_p0,0.1613
ESM2-35M,casp14,T1038-D1,0,perm0,pert35m_p0,0.1818
ESM2-35M,casp14,T1038-D2,0,perm0,pert35m_p0,0.7333
ESM2-35M,casp14,T1039-D1,0,perm0,pert35m_p0,0.2500
ESM2-35M,casp14,T1046s1-D1,0,perm0,pert35m_p0,0.3571
ESM2-35M,casp14,T1046s2-D1,0,perm0,pert35m_p0,0.8214
ESM2-35M,casp14,T1049-D1,0,perm0,pert35m_p0,0.2222
ESM2-35M,casp14,T1050-D1,0,perm0,pert35m_p0,0.7500
ESM2-35M,casp14,T1050-D2,0,perm0,pert35m_p0,0.8730
ESM2-35M,casp14,T1050-D3,0,perm0,pert35m_p0,0.8800
ESM2-35M,casp14,T1054-D1,0,perm0,pert35m_p0,0.7143
ESM2-35M,casp14,T1056-D1,0,perm0,pert35m_p0,0.7273
ESM2-35M,casp14,T1057-D1,0,perm0,pert35m_p0,0.8085
ESM2-35M,casp14,T1064-D1,0,perm0,pert35m_p0,0.0000
ESM2-35M,casp14,T1067-D1,0,perm0,pert35m_p0,0.5682
ESM2-35M,casp14,T1070-D2,0,perm0,pert35m_p0,0.1500
ESM2-35M,casp14,T1073-D1,0,perm0,pert35m_p0,0.2727
ESM2-35M,casp14,T1079-D1,0,perm0,pert35m_p0,0.2333
ESM2-35M,casp14,T1082-D1,0,perm0,pert35m_p0,0.1429
ESM2-35M,casp14,T1089-D1,0,perm0,pert35m_p0,0.8243
ESM2-35M,casp14,T1090-D1,0,perm0,pert35m_p0,0.3333
ESM2-35M,casp14,T1099-D1,0,perm0,pert35m_p0,0.0571
ESM2-35M,casp14,T1024-D1,1,perm0,pert35m_p0,0.5789
ESM2-35M,casp14,T1024-D2,1,perm0,pert35m_p0,0.4615
ESM2-35M,casp14,T1025-D1,1,perm0,pert35m_p0,0.9608
ESM2-35M,casp14,T1026-D1,1,perm0,pert35m_p0,0.2414
ESM2-35M,casp14,T1030-D1,1,perm0,pert35m_p0,0.5667
ESM2-35M,casp14,T1030-D2,1,perm0,pert35m_p0,0.3043
ESM2-35M,casp14,T1031-D1,1,perm0,pert35m_p0,0.2632
ESM2-35M,casp14,T1032-D1,1,perm0,pert35m_p0,0.4118
ESM2-35M,casp14,T1033-D1,1,perm0,pert35m_p0,0.2500
ESM2-35M,casp14,T1034-D1,1,perm0,pert35m_p0,0.0323
ESM2-35M,casp14,T1038-D1,1,perm0,pert35m_p0,0.3182
ESM2-35M,casp14,T1038-D2,1,perm0,pert35m_p0,0.8000
ESM2-35M,casp14,T1039-D1,1,perm0,pert35m_p0,0.1875
ESM2-35M,casp14,T1046s1-D1,1,perm0,pert35m_p0,0.0714
ESM2-35M,casp14,T1046s2-D1,1,perm0,pert35m_p0,0.8571
ESM2-35M,casp14,T1049-D1,1,perm0,pert35m_p0,0.1481
ESM2-35M,casp14,T1050-D1,1,perm0,pert35m_p0,0.7188
ESM2-35M,casp14,T1050-D2,1,perm0,pert35m_p0,0.7937
ESM2-35M,casp14,T1050-D3,1,perm0,pert35m_p0,0.8800
ESM2-35M,casp14,T1054-D1,1,perm0,pert35m_p0,0.6071
ESM2-35M,casp14,T1056-D1,1,perm0,pert35m_p0,0.5758
ESM2-35M,casp14,T1057-D1,1,perm0,pert35m_p0,0.7447
ESM2-35M,casp14,T1064-D1,1,perm0,pert35m_p0,0.0667
ESM2-35M,casp14,T1067-D1,1,perm0,pert35m_p0,0.5000
ESM2-35M,casp14,T1070-D2,1,perm0,pert35m_p0,0.4500
ESM2-35M,casp14,T1073-D1,1,perm0,pert35m_p0,0.7273
ESM2-35M,casp14,T1079-D1,1,perm0,pert35m_p0,0.1889
ESM2-35M,casp14,T1082-D1,1,perm0,pert35m_p0,0.0714
ESM2-35M,casp14,T1089-D1,1,perm0,pert35m_p0,0.9459
ESM2-35M,casp14,T1090-D1,1,perm0,pert35m_p0,0.1538
ESM2-35M,casp14,T1099-D1,1,perm0,pert35m_p0,0.2571
ESM2-35M,casp14,T1024-D1,2,perm0,pert35m_p0,0.4737
ESM2-35M,casp14,T1024-D2,2,perm0,pert35m_p0,0.2821
ESM2-35M,casp14,T1025-D1,2,perm0,pert35m_p0,0.9608
ESM2-35M,casp14,T1026-D1,2,perm0,pert35m_p0,0.0690
ESM2-35M,casp14,T1030-D1,2,perm0,pert35m_p0,0.3000
ESM2-35M,casp14,T1030-D2,2,perm0,pert35m_p0,0.3913
ESM2-35M,casp14,T1031-D1,2,perm0,pert35m_p0,0.0000
ESM2-35M,casp14,T1032-D1,2,perm0,pert35m_p0,0.2353
ESM2-35M,casp14,T1033-D1,2,perm0,pert35m_p0,0.2500
ESM2-35M,casp14,T1034-D1,2,perm0,pert35m_p0,0.2903
ESM2-35M,casp14,T1038-D1,2,perm0,pert35m_p0,0.4091
ESM2-35M,casp14,T1038-D2,2,perm0,pert35m_p0,0.6000
ESM2-35M,casp14,T1039-D1,2,perm0,pert35m_p0,0.0625
ESM2-35M,casp14,T1046s1-D1,2,perm0,pert35m_p0,0.2857
ESM2-35M,casp14,T1046s2-D1,2,perm0,pert35m_p0,0.6429
ESM2-35M,casp14,T1049-D1,2,perm0,pert35m_p0,0.0000
ESM2-35M,casp14,T1050-D1,2,perm0,pert35m_p0,0.7812
ESM2-35M,casp14,T1050-D2,2,perm0,pert35m_p0,0.8730
ESM2-35M,casp14,T1050-D3,2,perm0,pert35m_p0,0.8800
ESM2-35M,casp14,T1054-D1,2,perm0,pert35m_p0,0.6429
ESM2-35M,casp14,T1056-D1,2,perm0,pert35m_p0,0.7879
ESM2-35M,casp14,T1057-D1,2,perm0,pert35m_p0,0.7872
ESM2-35M,casp14,T1064-D1,2,perm0,pert35m_p0,0.2667
ESM2-35M,casp14,T1067-D1,2,perm0,pert35m_p0,0.4318
ESM2-35M,casp14,T1070-D2,2,perm0,pert35m_p0,0.0500
ESM2-35M,casp14,T1073-D1,2,perm0,pert35m_p0,0.7273
ESM2-35M,casp14,T1079-D1,2,perm0,pert35m_p0,0.2778
ESM2-35M,casp14,T1082-D1,2,perm0,pert35m_p0,0.0714
ESM2-35M,casp14,T1089-D1,2,perm0,pert35m_p0,0.9054
ESM2-35M,casp14,T1090-D1,2,perm0,pert35m_p0,0.1026
ESM2-35M,casp14,T1099-D1,2,perm0,pert35m_p0,0.1429
ESM2-35M,casp14,T1024-D1,0,perm1,pert35m_p1,0.2632
ESM2-35M,casp14,T1024-D2,0,perm1,pert35m_p1,0.3846
ESM2-35M,casp14,T1025-D1,0,perm1,pert35m_p1,0.9020
ESM2-35M,casp14,T1026-D1,0,perm1,pert35m_p1,0.2759
ESM2-35M,casp14,T1030-D1,0,perm1,pert35m_p1,0.3667
ESM2-35M,casp14,T1030-D2,0,perm1,pert35m_p1,0.3043
ESM2-35M,casp14,T1031-D1,0,perm1,pert35m_p1,0.1053
ESM2-35M,casp14,T1032-D1,0,perm1,pert35m_p1,0.1765
ESM2-35M,casp14,T1033-D1,0,perm1,pert35m_p1,0.2000
ESM2-35M,casp14,T1034-D1,0,perm1,pert35m_p1,0.1935
ESM2-35M,casp14,T1038-D1,0,perm1,pert35m_p1,0.4091
ESM2-35M,casp14,T1038-D2,0,perm1,pert35m_p1,0.7333
ESM2-35M,casp14,T1039-D1,0,perm1,pert35m_p1,0.0312
ESM2-35M,casp14,T1046s1-D1,0,perm1,pert35m_p1,0.4286
ESM2-35M,casp14,T1046s2-D1,0,perm1,pert35m_p1,0.6429
ESM2-35M,casp14,T1049-D1,0,perm1,pert35m_p1,0.0370
ESM2-35M,casp14,T1050-D1,0,perm1,pert35m_p1,0.8438
ESM2-35M,casp14,T1050-D2,0,perm1,pert35m_p1,0.8730
ESM2-35M,casp14,T1050-D3,0,perm1,pert35m_p1,0.7600
ESM2-35M,casp14,T1054-D1,0,perm1,pert35m_p1,0.6071
ESM2-35M,casp14,T1056-D1,0,perm1,pert35m_p1,0.6364
ESM2-35M,casp14,T1057-D1,0,perm1,pert35m_p1,0.7234
ESM2-35M,casp14,T1064-D1,0,perm1,pert35m_p1,0.3333
ESM2-35M,casp14,T1067-D1,0,perm1,pert35m_p1,0.5455
ESM2-35M,casp14,T1070-D2,0,perm1,pert35m_p1,0.3000
ESM2-35M,casp14,T1073-D1,0,perm1,pert35m_p1,0.0909
ESM2-35M,casp14,T1079-D1,0,perm1,pert35m_p1,0.2556
ESM2-35M,casp14,T1082-D1,0,perm1,pert35m_p1,0.0714
ESM2-35M,casp14,T1089-D1,0,perm1,pert35m_p1,0.8108
ESM2-35M,casp14,T1090-D1,0,perm1,pert35m_p1,0.4103
ESM2-35M,casp14,T1099-D1,0,perm1,pert35m_p1,0.0857
ESM2-35M,casp14,T1024-D1,1,perm1,pert35m_p1,0.5789
ESM2-35M,casp14,T1024-D2,1,perm1,pert35m_p1,0.5385
ESM2-35M,casp14,T1025-D1,1,perm1,pert35m_p1,0.9608
ESM2-35M,casp14,T1026-D1,1,perm1,pert35m_p1,0.3103
ESM2-35M,casp14,T1030-D1,1,perm1,pert35m_p1,0.4667
ESM2-35M,casp14,T1030-D2,1,perm1,pert35m_p1,0.0000
ESM2-35M,casp14,T1031-D1,1,perm1,pert35m_p1,0.1053
ESM2-35M,casp14,T1032-D1,1,perm1,pert35m_p1,0.3235
ESM2-35M,casp14,T1033-D1,1,perm1,pert35m_p1,0.0500
ESM2-35M,casp14,T1034-D1,1,perm1,pert35m_p1,0.0968
ESM2-35M,casp14,T1038-D1,1,perm1,pert35m_p1,0.3636
ESM2-35M,casp14,T1038-D2,1,perm1,pert35m_p1,0.4000
ESM2-35M,casp14,T1039-D1,1,perm1,pert35m_p1,0.1875
ESM2-35M,casp14,T1046s1-D1,1,perm1,pert35m_p1,0.2143
ESM2-35M,casp14,T1046s2-D1,1,perm1,pert35m_p1,0.8214
ESM2-35M,casp14,T1049-D1,1,perm1,pert35m_p1,0.0000
ESM2-35M,casp14,T1050-D1,1,perm1,pert35m_p1,0.8594
ESM2-35M,casp14,T1050-D2,1,perm1,pert35m_p1,0.9524
ESM2-35M,casp14,T1050-D3,1,perm1,pert35m_p1,0.7200
ESM2-35M,casp14,T1054-D1,1,perm1,pert35m_p1,0.7143
ESM2-35M,casp14,T1056-D1,1,perm1,pert35m_p1,0.8182
ESM2-35M,casp14,T1057-D1,1,perm1,pert35m_p1,0.7660
ESM2-35M,casp14,T1064-D1,1,perm1,pert35m_p1,0.1333
ESM2-35M,casp14,T1067-D1,1,perm1,pert35m_p1,0.5455
ESM2-35M,casp14,T1070-D2,1,perm1,pert35m_p1,0.0000
ESM2-35M,casp14,T1073-D1,1,perm1,pert35m_p1,0.9091
ESM2-35M,casp14,T1079-D1,1,perm1,pert35m_p1,0.2111
ESM2-35M,casp14,T1082-D1,1,perm1,pert35m_p1,0.0714
ESM2-35M,casp14,T1089-D1,1,perm1,pert35m_p1,0.8108
ESM2-35M,casp14,T1090-D1,1,perm1,pert35m_p1,0.0513
ESM2-35M,casp14,T1099-D1,1,perm1,pert35m_p1,0.1714
ESM2-35M,casp14,T1024-D1,2,perm1,pert35m_p1,0.3421
ESM2-35M,casp14,T1024-D2,2,perm1,pert35m_p1,0.2308
ESM2-35M,casp14,T1025-D1,2,perm1,pert35m_p1,0.9608
ESM2-35M,casp14,T1026-D1,2,perm1,pert35m_p1,0.1034
ESM2-35M,casp14,T1030-D1,2,perm1,pert35m_p1,0.1667
ESM2-35M,casp14,T1030-D2,2,perm1,pert35m_p1,0.3043
ESM2-35M,casp14,T1031-D1,2,perm1,pert35m_p1,0.1579
ESM2-35M,casp14,T1032-D1,2,perm1,pert35m_p1,0.2647
ESM2-35M,casp14,T1033-D1,2,perm1,pert35m_p1,0.1500
ESM2-35M,casp14,T1034-D1,2,perm1,pert35m_p1,0.2258
ESM2-35M,casp14,T1038-D1,2,perm1,pert35m_p1,0.0909
ESM2-35M,casp14,T1038-D2,2,perm1,pert35m_p1,0.6000
ESM2-35M,casp14,T1039-D1,2,perm1,pert35m_p1,0.1562
ESM2-35M,casp14,T1046s1-D1,2,perm1,pert35m_p1,0.2857
ESM2-35M,casp14,T1046s2-D1,2,perm1,pert35m_p1,0.7143
ESM2-35M,casp14,T1049-D1,2,perm1,pert35m_p1,0.1852
ESM2-35M,casp14,T1050-D1,2,perm1,pert35m_p1,0.8125
ESM2-35M,casp14,T1050-D2,2,perm1,pert35m_p1,0.8413
ESM2-35M,casp14,T1050-D3,2,perm1,pert35m_p1,0.8400
ESM2-35M,casp14,T1054-D1,2,perm1,pert35m_p1,0.7857
ESM2-35M,casp14,T1056-D1,2,perm1,pert35m_p1,0.7273
ESM2-35M,casp14,T1057-D1,2,perm1,pert35m_p1,0.5957
ESM2-35M,casp14,T1064-D1,2,perm1,pert35m_p1,0.3333
ESM2-35M,casp14,T1067-D1,2,perm1,pert35m_p1,0.4545
ESM2-35M,casp14,T1070-D2,2,perm1,pert35m_p1,0.0500
ESM2-35M,casp14,T1073-D1,2,perm1,pert35m_p1,0.7273
ESM2-35M,casp14,T1079-D1,2,perm1,pert35m_p1,0.3111
ESM2-35M,casp14,T1082-D1,2,perm1,pert35m_p1,0.0714
ESM2-35M,casp14,T1089-D1,2,perm1,pert35m_p1,0.8919
ESM2-35M,casp14,T1090-D1,2,perm1,pert35m_p1,0.1026
ESM2-35M,casp14,T1099-D1,2,perm1,pert35m_p1,0.2286
ESM2-35M,casp14,T1024-D1,0,perm2,pert35m_p2,0.3158
ESM2-35M,casp14,T1024-D2,0,perm2,pert35m_p2,0.3077
ESM2-35M,casp14,T1025-D1,0,perm2,pert35m_p2,0.9412
ESM2-35M,casp14,T1026-D1,0,perm2,pert35m_p2,0.3103
ESM2-35M,casp14,T1030-D1,0,perm2,pert35m_p2,0.4000
ESM2-35M,casp14,T1030-D2,0,perm2,pert35m_p2,0.3913
ESM2-35M,casp14,T1031-D1,0,perm2,pert35m_p2,0.2632
ESM2-35M,casp14,T1032-D1,0,perm2,pert35m_p2,0.1471
ESM2-35M,casp14,T1033-D1,0,perm2,pert35m_p2,0.0500
ESM2-35M,casp14,T1034-D1,0,perm2,pert35m_p2,0.1290
ESM2-35M,casp14,T1038-D1,0,perm2,pert35m_p2,0.2273
ESM2-35M,casp14,T1038-D2,0,perm2,pert35m_p2,0.7333
ESM2-35M,casp14,T1039-D1,0,perm2,pert35m_p2,0.1875
ESM2-35M,casp14,T1046s1-D1,0,perm2,pert35m_p2,0.2857
ESM2-35M,casp14,T1046s2-D1,0,perm2,pert35m_p2,0.6786
ESM2-35M,casp14,T1049-D1,0,perm2,pert35m_p2,0.0370
ESM2-35M,casp14,T1050-D1,0,perm2,pert35m_p2,0.7969
ESM2-35M,casp14,T1050-D2,0,perm2,pert35m_p2,0.8571
ESM2-35M,casp14,T1050-D3,0,perm2,pert35m_p2,0.6800
ESM2-35M,casp14,T1054-D1,0,perm2,pert35m_p2,0.6786
ESM2-35M,casp14,T1056-D1,0,perm2,pert35m_p2,0.7879
ESM2-35M,casp14,T1057-D1,0,perm2,pert35m_p2,0.7660
ESM2-35M,casp14,T1064-D1,0,perm2,pert35m_p2,0.1333
ESM2-35M,casp14,T1067-D1,0,perm2,pert35m_p2,0.5909
ESM2-35M,casp14,T1070-D2,0,perm2,pert35m_p2,0.2500
ESM2-35M,casp14,T1073-D1,0,perm2,pert35m_p2,0.1818
ESM2-35M,casp14,T1079-D1,0,perm2,pert35m_p2,0.2444
ESM2-35M,casp14,T1082-D1,0,perm2,pert35m_p2,0.0000
ESM2-35M,casp14,T1089-D1,0,perm2,pert35m_p2,0.7838
ESM2-35M,casp14,T1090-D1,0,perm2,pert35m_p2,0.1538
ESM2-35M,casp14,T1099-D1,0,perm2,pert35m_p2,0.0571
ESM2-35M,casp14,T1024-D1,1,perm2,pert35m_p2,0.7105
ESM2-35M,casp14,T1024-D2,1,perm2,pert35m_p2,0.5385
ESM2-35M,casp14,T1025-D1,1,perm2,pert35m_p2,0.8824
ESM2-35M,casp14,T1026-D1,1,perm2,pert35m_p2,0.2414
ESM2-35M,casp14,T1030-D1,1,perm2,pert35m_p2,0.5000
ESM2-35M,casp14,T1030-D2,1,perm2,pert35m_p2,0.3478
ESM2-35M,casp14,T1031-D1,1,perm2,pert35m_p2,0.2105
ESM2-35M,casp14,T1032-D1,1,perm2,pert35m_p2,0.2941
ESM2-35M,casp14,T1033-D1,1,perm2,pert35m_p2,0.1500
ESM2-35M,casp14,T1034-D1,1,perm2,pert35m_p2,0.1290
ESM2-35M,casp14,T1038-D1,1,perm2,pert35m_p2,0.2727
ESM2-35M,casp14,T1038-D2,1,perm2,pert35m_p2,0.4000
ESM2-35M,casp14,T1039-D1,1,perm2,pert35m_p2,0.1562
ESM2-35M,casp14,T1046s1-D1,1,perm2,pert35m_p2,0.4286
ESM2-35M,casp14,T1046s2-D1,1,perm2,pert35m_p2,0.8571
ESM2-35M,casp14,T1049-D1,1,perm2,pert35m_p2,0.0741
ESM2-35M,casp14,T1050-D1,1,perm2,pert35m_p2,0.7188
ESM2-35M,casp14,T1050-D2,1,perm2,pert35m_p2,0.9365
ESM2-35M,casp14,T1050-D3,1,perm2,pert35m_p2,0.9200
ESM2-35M,casp14,T1054-D1,1,perm2,pert35m_p2,0.7143
ESM2-35M,casp14,T1056-D1,1,perm2,pert35m_p2,0.7576
ESM2-35M,casp14,T1057-D1,1,perm2,pert35m_p2,0.7660
ESM2-35M,casp14,T1064-D1,1,perm2,pert35m_p2,0.4000
ESM2-35M,casp14,T1067-D1,1,perm2,pert35m_p2,0.5455
ESM2-35M,casp14,T1070-D2,1,perm2,pert35m_p2,0.2000
ESM2-35M,casp14,T1073-D1,1,perm2,pert35m_p2,0.7273
ESM2-35M,casp14,T1079-D1,1,perm2,pert35m_p2,0.2778
ESM2-35M,casp14,T1082-D1,1,perm2,pert35m_p2,0.0714
ESM2-35M,casp14,T1089-D1,1,perm2,pert35m_p2,0.8378
ESM2-35M,casp14,T1090-D1,1,perm2,pert35m_p2,0.1026
ESM2-35M,casp14,T1099-D1,1,perm2,pert35m_p2,0.1714
ESM2-35M,casp14,T1024-D1,2,perm2,pert35m_p2,0.4474
ESM2-35M,casp14,T1024-D2,2,perm2,pert35m_p2,0.2051
ESM2-35M,casp14,T1025-D1,2,perm2,pert35m_p2,1.0000
ESM2-35M,casp14,T1026-D1,2,perm2,pert35m_p2,0.1034
ESM2-35M,casp14,T1030-D1,2,perm2,pert35m_p2,0.2667
ESM2-35M,casp14,T1030-D2,2,perm2,pert35m_p2,0.3043
ESM2-35M,casp14,T1031-D1,2,perm2,pert35m_p2,0.2105
ESM2-35M,casp14,T1032-D1,2,perm2,pert35m_p2,0.2941
ESM2-35M,casp14,T1033-D1,2,perm2,pert35m_p2,0.3500
ESM2-35M,casp14,T1034-D1,2,perm2,pert35m_p2,0.2258
ESM2-35M,casp14,T1038-D1,2,perm2,pert35m_p2,0.5455
ESM2-35M,casp14,T1038-D2,2,perm2,pert35m_p2,0.3333
ESM2-35M,casp14,T1039-D1,2,perm2,pert35m_p2,0.1875
ESM2-35M,casp14,T1046s1-D1,2,perm2,pert35m_p2,0.5714
ESM2-35M,casp14,T1046s2-D1,2,perm2,pert35m_p2,0.8571
ESM2-35M,casp14,T1049-D1,2,perm2,pert35m_p2,0.1481
ESM2-35M,casp14,T1050-D1,2,perm2,pert35m_p2,0.8438
ESM2-35M,casp14,T1050-D2,2,perm2,pert35m_p2,0.8571
ESM2-35M,casp14,T1050-D3,2,perm2,pert35m_p2,0.8400
ESM2-35M,casp14,T1054-D1,2,perm2,pert35m_p2,0.5357
ESM2-35M,casp14,T1056-D1,2,perm2,pert35m_p2,0.7273
ESM2-35M,casp14,T1057-D1,2,perm2,pert35m_p2,0.8085
ESM2-35M,casp14,T1064-D1,2,perm2,pert35m_p2,0.4667
ESM2-35M,casp14,T1067-D1,2,perm2,pert35m_p2,0.4318
ESM2-35M,casp14,T1070-D2,2,perm2,pert35m_p2,0.0000
ESM2-35M,casp14,T1073-D1,2,perm2,pert35m_p2,0.5455
ESM2-35M,casp14,T1079-D1,2,perm2,pert35m_p2,0.1444
ESM2-35M,casp14,T1082-D1,2,perm2,pert35m_p2,0.0000
ESM2-35M,casp14,T1089-D1,2,perm2,pert35m_p2,0.8919
ESM2-35M,casp14,T1090-D1,2,perm2,pert35m_p2,0.0769
ESM2-35M,casp14,T1099-D1,2,perm2,pert35m_p2,0.1714
ESM2-35M,casp14,T1024-D1,0,perm3,pert35m_p3,0.3158
ESM2-35M,casp14,T1024-D2,0,perm3,pert35m_p3,0.2308
ESM2-35M,casp14,T1025-D1,0,perm3,pert35m_p3,0.9804
ESM2-35M,casp14,T1026-D1,0,perm3,pert35m_p3,0.1034
ESM2-35M,casp14,T1030-D1,0,perm3,pert35m_p3,0.6333
